ID	signup_ym	birth_year	annual_income	marital_status	children	recency	amount_alcohol	amount_fruit	amount_meat	amount_fish	amount_snack	amount_general	num_purchase_web	num_purchase_store	num_purchase_discount	promotion_1	promotion_2	promotion_3	promotion_4	promotion_5	promotion_6	revenue
2968	2021-04	1951	63632400.0	이혼	0	53	568100	10400	267800	208000	63700	54600	7	5	2	0	0	1	0	0	1	11
8601	2021-07	1988	104014300.0	배우자 있음	1	3	547300	98800	696800	106600	231400	132600	8	5	2	0	0	0	0	0	0	11
503	2021-06	1993	26726700.0	배우자 있음	1	88	16900	1300	37700	3900	0	9100	2	3	2	0	0	0	0	0	0	11
8430	2021-03	1965	28592200.0	배우자 있음	1	4	11700	0	7800	3900	1300	3900	0	3	1	0	0	0	0	0	0	11
7281	2022-02	1967		미혼	0	80	105300	14300	65000	3900	2600	50700	1	4	1	0	0	0	0	0	0	11
2139	2021-12	1983	9750000.0	배우자 있음	1	19	3900	1300	13000	3900	2600	15600	2	3	3	0	0	0	0	0	0	11
1371	2022-09	1984	103923300.0	미혼	0	72	159900	213200	345800	295100	39000	226200	2	9	1	0	0	0	0	0	0	11
9909	2021-02	2004	9750000.0	배우자 있음	0	24	3900	23400	18200	19500	28600	65000	3	3	3	0	0	0	0	0	1	11
7286	2021-08	1976	54246400.0	배우자 있음	1	92	16900	7800	19500	3900	6500	16900	2	2	1	0	0	0	0	0	0	11
7244	2022-03	1959		미혼	3	96	62400	6500	62400	7800	13000	9100	2	4	3	0	0	0	0	0	0	11
6566	2021-02	1962	94315000.0	배우자 있음	2	39	1073800	65000	412100	65000	49400	49400	5	12	9	0	0	0	0	0	0	11
8614	2022-08	1965	85131800.0	사별	1	29	318500	24700	162500	48100	87100	18200	4	10	1	0	0	0	0	0	0	11
4114	2020-11	1972	102885900.0	배우자 있음	0	2	845000	48100	1014000	35100	217100	41600	6	13	1	0	0	0	0	0	0	11
1331	2021-03	1985	46527000.0	미혼	1	54	15600	7800	26000	39000	1300	3900	2	3	2	0	0	0	0	0	0	11
2225	2022-09	1985	107356600.0	이혼	0	54	663000	156000	715000	202800	52000	313300	4	7	1	1	0	1	0	0	1	11
9381	2021-09	1986	86284900.0	배우자 있음	2	57	426400	11700	161200	15600	31200	141700	4	10	7	0	0	0	0	0	0	11
6260	2021-02	1963	107099200.0	배우자 있음	0	55	1279200	66300	561600	234000	156000	247000	3	13	1	0	0	0	0	1	1	11
10383	2021-06	1974	91373100.0	이혼	0	30	383500	45500	626600	157300	156000	52000	5	10	1	0	0	0	0	0	1	11
7437	2022-07	1996	36319400.0	미혼	1	31	16900	0	10400	2600	1300	6500	1	4	1	0	0	0	0	0	0	11
8557	2021-09	1990		미혼	1	57	14300	3900	28600	2600	2600	7800	2	3	2	0	0	0	0	0	0	11
8375	2022-05	1976	72740200.0	배우자 있음	1	63	581100	0	36400	0	0	55900	8	6	3	0	0	0	0	0	0	11
6853	2021-09	1990	98510100.0	미혼	0	12	925600	33800	699400	89700	16900	104000	3	11	1	0	0	0	1	1	1	11
3076	2020-12	1983	86648900.0	배우자 있음	2	18	587600	23400	132600	20800	23400	7800	4	12	4	0	0	0	0	0	0	11
1012	2021-05	1960	80369900.0	미혼	1	26	679900	9100	174200	48100	18200	219700	8	10	4	0	0	0	0	0	0	11
6518	2021-09	1959	87984000.0	사별	1	8	709800	0	62400	0	7800	7800	7	8	1	0	0	0	0	0	0	11
4137	2022-03	1956	91865800.0	배우자 있음	0	29	517400	52000	477100	154700	158600	39000	7	4	1	0	0	0	0	0	0	11
8082	2021-08	1979	33437300.0	배우자 있음	1	75	1300	3900	7800	3900	7800	19500	1	2	1	0	0	0	0	0	1	11
1386	2022-08	1975	42216200.0	배우자 있음	2	0	13000	0	1300	0	0	0	1	2	1	0	0	0	0	0	0	11
9369	2022-06	1987	114652200.0	미혼	1	19	894400	18200	401700	261300	31200	49400	11	10	1	1	0	1	0	0	1	11
4477	2021-12	1966	89824800.0	배우자 있음	1	4	321100	63700	206700	9100	106600	141700	5	10	1	0	0	0	0	0	0	11
1357	2021-07	1978	97310200.0	배우자 있음	3	90	1112800	76700	633100	75400	37700	94900	2	5	7	0	0	0	0	0	0	11
1402	2020-12	1962	87088300.0	배우자 있음	0	1	644800	46800	598000	245700	78000	15600	4	6	3	0	0	0	0	0	0	11
10629	2020-12	1981		배우자 있음	1	25	32500	3900	55900	22100	5200	22100	3	3	3	0	0	0	0	0	0	11
6312	2021-06	1967	84540300.0	배우자 있음	1	29	335400	139100	378300	109200	48100	111800	10	13	4	0	0	0	0	0	0	11
8132	2021-07	1983	78820300.0	배우자 있음	2	88	734500	7800	84500	0	7800	24700	9	8	5	0	0	0	1	0	0	11
1050	2022-07	1960	36831600.0	배우자 있음	0	58	18200	13000	16900	5200	19500	11700	2	4	1	0	0	0	0	0	0	11
5846	2021-03	1985	52319800.0	이혼	1	68	2600	1300	7800	2600	1300	1300	1	2	1	0	0	0	0	0	0	11
1859	2020-11	1980	97826300.0	배우자 있음	0	34	937300	144300	1202500	126100	23400	23400	7	5	1	0	0	0	0	0	1	11
7503	2021-01	1984	98572500.0	미혼	0	40	1341600	136500	1012700	178100	136500	66300	5	9	0	0	0	1	0	0	1	11
10401	2021-12	1984	34223800.0	배우자 있음	0	12	1300	0	6500	0	3900	11700	0	3	1	0	0	0	0	0	0	11
1618	2021-03	1973	72859800.0	배우자 있음	0	9	750100	0	83200	0	0	66300	10	8	2	0	0	1	0	0	1	11
3332	2020-11	1993	38688000.0	미혼	1	87	83200	5200	88400	9100	6500	22100	3	4	4	0	0	0	0	0	0	11
2261	2021-09	1977	34195200.0	배우자 있음	1	5	5200	1300	6500	2600	0	5200	1	2	1	0	0	0	0	0	0	11
5346	2021-09	1981	30626700.0	배우자 있음	1	87	32500	6500	24700	9100	0	29900	3	3	3	0	0	0	0	0	0	11
4119	2021-08	1971	50206000.0	배우자 있음	0	56	145600	22100	57200	44200	28600	115700	2	3	1	0	0	0	0	0	0	11
535	2022-05	1995	105769300.0	이혼	0	18	211900	29900	551200	35100	84500	98800	3	13	1	0	0	0	0	0	0	11
5268	2021-11	1968	38272000.0	배우자 있음	2	95	22100	10400	18200	13000	5200	3900	1	4	2	0	0	0	0	0	0	11
273	2021-10	1978	46979400.0	배우자 있음	2	48	169000	0	20800	0	0	6500	3	4	5	0	0	0	1	0	0	11
4452	2022-08	1965	65504400.0	미혼	1	3	379600	7800	48100	0	3900	44200	6	6	4	1	0	0	1	0	1	11
8504	2022-08	1981	103470900.0	배우자 있음	0	70	455000	78000	738400	143000	172900	188500	5	7	1	0	0	0	0	1	0	11
771	2022-04	1975	70431400.0	배우자 있음	1	79	175500	11700	50700	5200	0	9100	2	5	1	0	0	0	0	0	0	11
8996	2021-02	1965		배우자 있음	3	4	299000	54600	249600	63700	48100	68900	7	8	12	0	0	0	0	0	0	11
9235	2022-08	1965		미혼	2	45	9100	0	10400	2600	0	1300	1	2	1	0	0	0	0	0	0	11
5798	2022-02	1981		배우자 있음	0	87	578500	48100	466700	127400	36400	23400	2	8	1	0	0	0	0	0	0	11
11178	2022-06	1980	55112200.0	미혼	1	69	19500	2600	13000	0	1300	5200	1	3	1	0	0	0	0	0	0	11
2230	2022-08	1978	30713800.0	배우자 있음	1	84	35100	2600	18200	0	0	0	3	3	3	0	0	0	0	0	0	11
7516	2022-08	1991	39124800.0	배우자 있음	1	30	6500	3900	14300	15600	6500	11700	2	3	1	0	0	0	0	0	0	11
7247	2021-02	1968	62290800.0	사별	1	72	656500	0	33800	0	0	97500	7	6	5	0	0	0	1	0	0	11
11100	2021-07	1980	67356900.0	이혼	2	37	66300	2600	9100	0	1300	2600	2	3	2	0	0	0	0	0	0	11
4646	2022-02	1959	102046100.0	배우자 있음	0	44	269100	33800	581100	97500	0	289900	5	12	1	1	0	0	0	0	0	11
3037	2021-09	1991	65195000.0	배우자 있음	0	32	175500	59800	119600	84500	79300	14300	5	7	2	0	0	0	0	0	0	11
1473	2021-10	1968	62169900.0	미혼	1	0	68900	1300	6500	2600	1300	13000	2	3	2	0	0	0	0	0	0	11
1016	2022-06	1967	44920200.0	미혼	1	43	53300	1300	7800	2600	0	6500	2	3	2	0	0	0	0	0	0	11
4518	2021-07	1987	111400900.0	배우자 있음	1	59	501800	223600	237900	240500	171600	144300	9	11	2	0	0	0	0	0	0	11
9370	2021-08	1953	85599800.0	배우자 있음	0	68	730600	105300	358800	104000	52000	105300	6	6	1	0	0	0	0	0	0	11
8908	2022-08	1967	113353500.0	배우자 있음	0	35	282100	98800	897000	65000	33800	49400	3	5	1	0	0	0	0	0	1	11
8373	2022-03	1987	31972200.0	배우자 있음	1	94	1300	3900	7800	13000	0	11700	1	3	1	0	0	0	0	0	0	11
7533	2021-12	1972	63824800.0	배우자 있음	2	15	187200	1300	41600	2600	1300	9100	4	4	4	0	0	0	0	0	0	11
2683	2021-05	1977	68136900.0	배우자 있음	2	56	383500	137800	352300	97500	127400	84500	6	12	4	0	0	0	0	0	0	11
3629	2021-03	1986	50124100.0	미혼	1	17	98800	3900	40300	5200	5200	35100	3	3	2	0	0	0	0	0	0	11
10991	2021-03	1968	115775400.0	배우자 있음	0	18	590200	252200	137800	40300	28600	55900	5	4	1	0	0	0	0	0	0	11
5077	2022-01	1987	100487400.0	배우자 있음	1	46	552500	149500	379600	29900	45500	102700	6	11	1	0	0	0	0	0	0	11
7431	2021-02	1999	88563800.0	미혼	0	40	1731600	22100	404300	29900	66300	111800	7	5	1	0	0	0	1	0	1	11
3267	2022-09	1971	74474400.0	배우자 있음	1	27	685100	0	27300	0	0	78000	8	8	3	0	0	0	1	0	0	11
999	2021-03	1999	111848100.0	미혼	0	95	637000	57200	162500	37700	26000	28600	6	11	1	0	0	0	1	1	1	11
9215	2021-03	1988	57166200.0	배우자 있음	1	19	491400	0	131300	0	0	93600	6	6	5	0	0	0	0	0	0	11
2286	2021-12	1970	66020500.0	미혼	2	27	83200	1300	27300	0	1300	35100	2	3	2	0	0	0	0	0	0	11
1592	2022-04	1978	117994500.0	배우자 있음	0	25	711100	128700	1055600	196300	106600	42900	4	5	0	1	0	0	0	1	0	11
367	2021-05	1986	47515000.0	배우자 있음	1	74	61100	117000	122200	159900	133900	156000	9	5	5	0	0	0	0	0	0	11
5234	2021-10	1975	39978900.0	배우자 있음	2	85	15600	6500	32500	0	11700	39000	1	3	2	0	0	0	0	0	0	11
9862	2022-02	1977	28493400.0	배우자 있음	1	37	1300	7800	9100	14300	6500	3900	2	3	2	0	0	0	0	0	0	11
9805	2021-09	1961	72967700.0	배우자 있음	1	65	416000	62400	172900	50700	93600	62400	6	10	4	0	0	0	0	0	0	11
6205	2022-05	1975	42324100.0	미혼	1	13	44200	3900	37700	0	5200	13000	2	3	3	0	0	0	0	0	1	11
8442	2021-12	1993	25363000.0	배우자 있음	2	63	11700	0	9100	3900	5200	9100	1	3	2	0	0	0	0	0	0	11
7386	2021-07	1984	40289600.0	이혼	1	83	22100	0	18200	9100	3900	2600	1	3	1	0	0	0	0	0	0	11
7215	2021-06	1991	132561000.0	미혼	0	69	938600	35100	132600	57200	93600	218400	6	13	0	1	0	0	1	1	1	11
1491	2021-05	1973	92934400.0	배우자 있음	0	87	210600	42900	161200	52000	36400	223600	3	7	2	0	0	0	0	0	0	11
11071	2021-07	1992	103489100.0	미혼	0	37	585000	172900	1236300	224900	0	280800	3	6	1	0	0	0	0	0	1	11
3381	2022-09	1961	70652400.0	배우자 있음	2	51	91000	0	20800	0	0	5200	2	4	2	0	0	0	0	0	0	11
8268	2021-10	1969		배우자 있음	1	23	457600	0	35100	13000	0	19500	6	7	3	0	0	0	0	0	0	11
11051	2022-08	1964	100588800.0	배우자 있음	2	72	639600	24700	143000	20800	15600	15600	6	10	4	0	0	0	0	0	0	11
8026	2021-12	1960	81897400.0	배우자 있음	1	10	156000	75400	94900	84500	115700	75400	5	5	5	0	0	0	0	0	0	11
433	2021-06	1966	79730300.0	미혼	2	42	694200	6500	61100	0	6500	53300	11	6	5	0	0	0	0	0	0	11
9597	2022-05	1977	95482400.0	배우자 있음	0	10	306800	137800	245700	29900	53300	169000	7	9	1	0	0	0	0	0	0	11
1295	2021-11	1971		배우자 있음	1	96	300300	84500	254800	49400	92300	161200	6	7	1	0	0	0	0	0	0	11
5290	2021-11	1972	54016300.0	배우자 있음	2	51	286000	0	42900	3900	0	29900	5	5	5	0	0	0	0	0	0	11
1685	2021-06	1975	81875300.0	배우자 있음	0	21	1034800	18200	767000	49400	57200	0	4	13	1	0	0	0	1	0	0	11
5342	2020-11	1984	12412400.0	이혼	1	31	0	1300	3900	13000	7800	11700	1	3	2	0	0	0	0	0	0	11
9579	2021-10	1967	43890600.0	배우자 있음	3	61	68900	1300	44200	2600	0	20800	2	2	3	0	0	0	0	0	0	11
7660	2022-08	1981	46618000.0	미혼	2	37	19500	0	10400	5200	2600	26000	1	2	2	0	0	1	0	0	1	11
1461	2021-10	1973	47997300.0	이혼	2	74	22100	1300	15600	3900	1300	5200	2	3	2	0	0	0	0	0	0	11
821	2021-01	2000	120716700.0	미혼	0	46	1250600	79300	1197300	67600	79300	26000	5	12	1	0	0	0	0	0	0	11
11084	2022-02	1984	84635200.0	배우자 있음	1	4	959400	0	301600	16900	26000	65000	3	7	2	0	0	0	0	0	1	11
8690	2021-07	1970	111944300.0	배우자 있음	0	73	518700	36400	982800	46800	52000	163800	5	10	1	0	0	0	0	0	0	11
2937	2021-11	1982	88857600.0	미혼	1	47	798200	20800	171600	55900	42900	42900	8	9	3	0	0	0	0	0	0	11
9701	2021-06	1996	54447900.0	배우자 있음	1	13	41600	44200	53300	94900	20800	150800	4	3	3	0	0	0	0	0	0	11
9949	2021-01	1984	77751700.0	배우자 있음	2	36	777400	20800	183300	41600	53300	63700	3	6	3	0	0	0	0	0	0	11
10837	2021-01	1983	31144100.0	배우자 있음	1	47	2600	1300	23400	26000	14300	20800	2	3	1	0	0	0	0	0	1	11
3120	2021-11	1989	50111100.0	배우자 있음	1	49	7800	1300	13000	0	1300	5200	1	2	1	0	0	0	0	0	0	11
5885	2020-11	1981	46394400.0	배우자 있음	3	94	94900	3900	117000	15600	1300	41600	4	4	7	0	0	0	0	0	0	11
4050	2022-09	1974	64486500.0	배우자 있음	0	65	54600	20800	37700	15600	26000	10400	2	4	1	0	0	0	0	0	0	11
3830	2022-07	1961	77160200.0	배우자 있음	2	59	383500	27300	101400	50700	16900	16900	4	7	1	0	0	0	0	0	0	11
7987	2022-06	1977	85471100.0	배우자 있음	1	96	449800	22100	62400	29900	16900	16900	8	6	4	0	0	0	1	0	0	11
7798	2021-03	1980	60247200.0	배우자 있음	1	28	302900	26000	74100	10400	26000	118300	7	5	4	0	0	0	0	0	0	11
92	2022-08	1996	44428800.0	미혼	1	12	6500	9100	31200	24700	18200	26000	3	4	4	0	0	0	0	0	0	11
7055	2021-01	1960	79313000.0	배우자 있음	1	57	1154400	0	74100	0	0	98800	8	11	2	0	0	0	0	0	0	11
10240	2021-05	1957	90183600.0	배우자 있음	0	10	1296100	33800	349700	44200	16900	54600	10	6	1	0	0	0	1	1	1	11
3025	2021-10	1966	64957100.0	미혼	1	4	275600	7800	89700	5200	15600	3900	6	5	3	0	0	0	0	0	0	11
9283	2021-12	1986	78258700.0	미혼	3	49	10400	1300	9100	2600	0	0	0	3	1	0	0	0	0	0	0	11
9970	2022-01	1985	71987500.0	배우자 있음	1	3	54600	14300	74100	13000	36400	18200	1	6	1	0	0	0	0	0	0	11
2730	2021-11	1963	104412100.0	미혼	0	64	696800	14300	503100	193700	118300	74100	3	10	1	0	0	0	0	0	0	11
2795	2021-09	1966	39679900.0	미혼	3	0	6500	0	3900	0	0	6500	1	2	1	0	0	0	0	0	0	11
9260	2021-02	1953	91462800.0	배우자 있음	0	20	1753700	20800	323700	55900	20800	42900	10	9	2	0	0	0	0	0	0	11
8182	2022-04	1992	30196400.0	배우자 있음	1	91	68900	3900	63700	9100	5200	6500	3	4	4	0	0	0	0	0	0	11
10095	2021-07	1983	96414500.0	이혼	0	9	1301300	15600	312000	20800	15600	15600	5	10	1	0	0	0	0	0	0	11
8475	2022-05	1981	204415900.0	배우자 있음	1	98	26000	2600	2056600	1300	2600	1300	0	0	15	0	0	0	0	0	0	11
4370	2022-02	1974	56526600.0	배우자 있음	3	83	23400	1300	41600	7800	3900	36400	2	4	3	0	0	0	0	0	0	11
10573	2022-02	1961	81316300.0	이혼	0	27	162500	20800	127400	174200	27300	35100	6	4	1	0	0	1	0	0	0	11
3712	2021-11	1967	68031600.0	이혼	0	63	275600	6500	42900	9100	0	2600	3	6	1	0	0	0	1	0	0	11
6637	2022-01	1996	87036300.0	미혼	0	46	360100	210600	396500	224900	98800	161200	3	7	1	0	0	0	0	0	0	11
3152	2022-05	1965	33918300.0	배우자 있음	2	84	19500	13000	24700	10400	22100	26000	2	3	3	0	0	0	0	0	0	11
5610	2022-07	1973	43492800.0	배우자 있음	2	58	9100	3900	13000	10400	1300	9100	1	3	2	0	0	0	0	0	0	11
6460	2021-10	1990	37333400.0	배우자 있음	1	78	15600	5200	7800	14300	10400	20800	2	3	2	0	0	0	0	0	0	11
1349	2022-07	1978	65581100.0	배우자 있음	2	4	110500	9100	31200	2600	3900	35100	3	3	1	0	0	0	0	0	0	11
1880	2022-04	1967	69598100.0	배우자 있음	2	17	105300	0	7800	0	0	7800	2	3	2	0	0	0	0	0	0	11
641	2022-07	1975	67696200.0	미혼	1	77	76700	0	15600	0	0	62400	2	2	1	0	0	1	0	0	0	11
8717	2020-12	1983	104555100.0	배우자 있음	1	56	1493700	92300	583700	89700	92300	33800	11	8	1	0	0	0	0	0	0	11
10314	2021-03	1956	108988100.0	배우자 있음	0	79	1101100	85800	154700	111800	115700	144300	9	5	1	1	0	0	1	0	1	11
10854	2022-08	1978	50508900.0	배우자 있음	2	90	37700	0	18200	0	0	2600	2	3	2	0	0	0	0	0	0	11
10492	2022-09	1967	49770500.0	배우자 있음	3	96	2600	0	6500	2600	0	1300	0	3	1	0	0	0	0	0	0	11
6935	2022-02	1959	102046100.0	배우자 있음	0	44	269100	33800	581100	97500	0	289900	5	12	1	1	0	0	0	0	0	11
7698	2022-08	1984	67145000.0	배우자 있음	1	81	197600	3900	28600	2600	6500	9100	4	4	1	0	0	0	0	0	0	11
3559	2022-08	1996	21122400.0	배우자 있음	1	77	15600	14300	13000	3900	15600	11700	2	3	3	0	0	0	0	0	0	11
10562	2021-12	1954	86885500.0	배우자 있음	0	21	806000	33800	253500	44200	22100	183300	6	13	1	0	0	0	0	0	0	11
10796	2022-04	1992	39620100.0	배우자 있음	1	16	61100	1300	7800	0	0	15600	1	3	1	0	0	0	0	0	0	11
2563	2022-09	1969	36723700.0	배우자 있음	0	80	1300	11700	9100	2600	18200	13000	2	3	1	0	0	0	0	0	0	11
3518	2021-03	1991	32852300.0	배우자 있음	1	45	13000	1300	23400	13000	5200	9100	1	2	1	0	0	0	0	0	0	11
5823	2022-06	1978	41993900.0	미혼	1	63	45500	0	2600	0	0	2600	1	4	2	0	0	0	0	0	0	11
3934	2021-10	1974	79671800.0	배우자 있음	1	34	462800	0	139100	24700	11700	152100	7	8	2	0	0	0	0	0	0	11
6982	2021-06	1984	96288400.0	배우자 있음	0	14	1017900	39000	698100	182000	98800	19500	4	9	1	0	0	0	0	0	0	11
6431	2021-05	1972	59486700.0	배우자 있음	2	13	54600	1300	23400	3900	0	5200	2	3	2	0	0	0	0	0	0	11
9733	2020-12	1986	32346600.0	배우자 있음	1	52	1300	5200	13000	37700	0	46800	1	2	1	0	0	1	0	0	0	11
5602	2021-08	1997	87064900.0	배우자 있음	0	98	605800	28600	561600	191100	146900	132600	8	12	1	0	0	0	0	0	0	11
7829	2021-12	1908	47632000.0	이혼	1	99	19500	7800	10400	9100	5200	32500	2	2	1	0	0	0	0	0	0	11
1324	2021-08	1996	50533600.0	배우자 있음	1	93	29900	3900	27300	3900	24700	28600	3	3	2	0	0	0	0	0	0	11
326	2021-05	1981	66492400.0	배우자 있음	2	38	305500	7800	58500	10400	11700	15600	5	6	4	0	0	0	0	0	0	11
7224	2022-03	1985	40758900.0	배우자 있음	2	24	13000	0	13000	3900	1300	9100	1	2	2	0	0	0	0	0	0	11
6999	2022-08	1988	90559300.0	배우자 있음	0	80	852800	20800	137800	41600	20800	10400	7	12	1	0	0	0	0	0	0	11
9938	2021-12	1962	104087100.0	배우자 있음	0	82	674700	22100	1056900	35100	224900	66300	4	6	1	0	0	0	0	1	0	11
6422	2021-04	1962	112733400.0	배우자 있음	0	20	447200	245700	626600	65000	42900	223600	5	5	1	0	0	0	0	0	0	11
3182	2022-06	1981	60910200.0	미혼	2	81	124800	1300	102700	9100	1300	102700	5	3	6	0	0	1	0	0	1	11
7300	2022-09	1960	89884600.0	이혼	1	50	582400	5200	44200	7800	5200	50700	8	7	3	0	0	0	1	0	0	11
10424	2022-03	1976	98698600.0	미혼	0	60	344500	179400	718900	291200	29900	119600	4	9	1	0	0	0	0	0	0	11
8727	2022-01	1986	82800900.0	이혼	1	63	763100	55900	438100	54600	113100	70200	11	9	3	0	0	0	0	0	0	11
2798	2021-01	1985	132808000.0	배우자 있음	0	54	991900	37700	179400	98800	228800	75400	7	10	0	1	0	0	1	1	1	11
1030	2021-10	1973	52828100.0	미혼	2	72	28600	0	16900	0	0	3900	1	3	2	0	0	0	0	0	0	11
624	2021-02	1992	24557000.0	미혼	0	5	7800	5200	1300	9100	2600	19500	0	2	1	0	0	1	0	0	1	11
5176	2022-03	1996	38485200.0	배우자 있음	1	88	9100	7800	16900	9100	7800	18200	1	3	1	0	0	1	0	0	0	11
5552	2021-08	1971	63337300.0	이혼	2	50	105300	23400	146900	61100	16900	27300	4	5	6	0	0	0	0	0	0	11
868	2022-09	1974	58232200.0	배우자 있음	1	99	70200	0	9100	0	0	5200	2	3	1	0	0	0	0	0	0	11
380	2020-12	1962	83846100.0	이혼	1	17	1521000	62400	416000	54600	41600	249600	11	9	5	0	0	1	0	0	1	11
2677	2021-06	1964	59926100.0	배우자 있음	1	11	93600	31200	88400	84500	5200	10400	3	6	5	0	0	0	0	0	0	11
6521	2022-06	1962	101363600.0	배우자 있음	0	18	796900	28600	414700	42900	132600	15600	4	9	1	0	0	0	0	0	0	11
6927	2021-01	1976	57690100.0	배우자 있음	2	70	291200	0	39000	0	0	13000	5	5	8	0	0	0	0	0	0	11
2877	2021-04	1982	59818200.0	배우자 있음	2	21	533000	0	76700	24700	11700	57200	7	8	10	0	0	0	0	0	0	11
