연월,시군구명,읍면동명,업종명,성별,이용자수,이용금액
2017-01-01,서귀포시,대정읍,육류 소매업,남성,269,14477200
2017-01-01,서귀포시,대정읍,욕탕업,남성,24,1052200
2017-01-01,서귀포시,대정읍,여관업,남성,220,20887700
2017-01-01,서귀포시,대정읍,스포츠 및 레크레이션 용품 임대업,남성,276,18447400
2017-01-01,서귀포시,대정읍,슈퍼마켓,남성,6618,198362026
2017-01-01,서귀포시,대정읍,일식 음식점업,남성,411,39270500
2017-01-01,서귀포시,대륜동,화장품 및 방향제 소매업,여성,4,970000
2017-01-01,서귀포시,대정읍,건강보조식품 소매업,남성,9,1668800
2017-01-01,서귀포시,대정읍,과실 및 채소 소매업,남성,150,7828280
2017-01-01,서귀포시,남원읍,일반유흥 주점업,남성,112,22664140
2017-01-01,서귀포시,남원읍,육류 소매업,남성,332,21503730
2017-01-01,서귀포시,남원읍,욕탕업,남성,9,99600
2017-01-01,서귀포시,남원읍,골프장 운영업,남성,1988,285901584
2017-01-01,서귀포시,남원읍,과실 및 채소 소매업,남성,685,49486002
2017-01-01,제주시,도두동,자동차 임대업,여성,1320,81767143
2017-01-01,서귀포시,남원읍,일식 음식점업,남성,361,34759000
2017-01-01,서귀포시,남원읍,그외 기타 종합 소매업,남성,1,100000
2017-01-01,서귀포시,남원읍,기타 주점업,남성,158,27135000
2017-01-01,서귀포시,남원읍,그외 기타 종합 소매업,여성,2,1900000
2017-01-01,서귀포시,남원읍,기타음식료품위주종합소매업,남성,4623,182203998
2017-01-01,서귀포시,남원읍,빵 및 과자류 소매업,남성,440,6222450
2017-01-01,서귀포시,남원읍,서양식 음식점업,남성,591,11796000
2017-01-01,서귀포시,남원읍,수산물 소매업,남성,119,17516000
2017-01-01,서귀포시,남원읍,기타 외국식 음식점업,남성,67,1670000
2017-01-01,서귀포시,남원읍,전시 및 행사 대행업,남성,435,12708300
2017-01-01,서귀포시,남원읍,중식 음식점업,남성,155,3831000
2017-01-01,서귀포시,남원읍,차량용 가스 충전업,남성,53,3169000
2017-01-01,서귀포시,대정읍,관광 민예품 및 선물용품 소매업,남성,16,375500
2017-01-01,서귀포시,대륜동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,294,9721540
2017-01-01,서귀포시,대륜동,슈퍼마켓,남성,1755,36802618
2017-01-01,서귀포시,대륜동,수산물 소매업,남성,45,3495000
2017-01-01,서귀포시,대륜동,서양식 음식점업,남성,1071,24036900
2017-01-01,서귀포시,남원읍,관광 민예품 및 선물용품 소매업,여성,41,1339000
2017-01-01,서귀포시,남원읍,과실 및 채소 소매업,여성,548,29699180
2017-01-01,서귀포시,남원읍,골프장 운영업,여성,863,108365729
2017-01-01,서귀포시,남원읍,건강보조식품 소매업,여성,10,283500
2017-01-01,서귀포시,남원읍,휴양콘도 운영업,남성,1664,95913780
2017-01-01,서귀포시,남원읍,화장품 및 방향제 소매업,남성,57,2176400
2017-01-01,서귀포시,남원읍,한식 음식점업,남성,4683,231687924
2017-01-01,서귀포시,남원읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,113,2768600
2017-01-01,서귀포시,남원읍,체인화 편의점,남성,4612,49271030
2017-01-01,서귀포시,남원읍,차량용 주유소 운영업,남성,4414,255016971
2017-01-01,서귀포시,대륜동,욕탕업,남성,62,5989000
2017-01-01,서귀포시,남원읍,슈퍼마켓,남성,1935,55925490
2017-01-01,서귀포시,대륜동,육류 소매업,남성,5,105100
2017-01-01,서귀포시,대륜동,일식 음식점업,남성,139,8121000
2017-01-01,서귀포시,안덕면,일식 음식점업,남성,28,2065000
2017-01-01,서귀포시,안덕면,육류 소매업,남성,1,116000
2017-01-01,서귀포시,안덕면,욕탕업,남성,1237,32983200
2017-01-01,서귀포시,안덕면,여관업,남성,1615,40109467
2017-01-01,서귀포시,안덕면,스포츠 및 레크레이션 용품 임대업,남성,185,9616900
2017-01-01,서귀포시,안덕면,슈퍼마켓,남성,1310,24321020
2017-01-01,서귀포시,안덕면,전시 및 행사 대행업,남성,4157,107521110
2017-01-01,서귀포시,안덕면,수산물 소매업,남성,217,20287501
2017-01-01,서귀포시,안덕면,빵 및 과자류 소매업,남성,355,5716200
2017-01-01,서귀포시,안덕면,체인화 편의점,여성,3088,27548580
2017-01-01,서귀포시,안덕면,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,307,9052300
2017-01-01,서귀포시,안덕면,한식 음식점업,여성,4572,238037450
2017-01-01,서귀포시,안덕면,화장품 및 방향제 소매업,여성,1347,32378770
2017-01-01,서귀포시,안덕면,골프장 운영업,남성,1352,146887680
2017-01-01,서귀포시,안덕면,서양식 음식점업,남성,4286,111346010
2017-01-01,서귀포시,안덕면,과실 및 채소 소매업,남성,618,36991804
2017-01-01,서귀포시,안덕면,중식 음식점업,남성,343,10280500
2017-01-01,서귀포시,안덕면,차량용 주유소 운영업,남성,4275,276036421
2017-01-01,서귀포시,송산동,한식 음식점업,여성,15146,663550681
2017-01-01,서귀포시,송산동,호텔업,여성,195,19022518
2017-01-01,서귀포시,송산동,화장품 및 방향제 소매업,여성,1662,95347670
2017-01-01,서귀포시,송산동,휴양콘도 운영업,여성,4,514000
2017-01-01,서귀포시,안덕면,건강보조식품 소매업,여성,1,100000
2017-01-01,서귀포시,안덕면,골프장 운영업,여성,522,46259427
2017-01-01,서귀포시,안덕면,차량용 가스 충전업,남성,55,3019000
2017-01-01,서귀포시,송산동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,4287,63897525
2017-01-01,서귀포시,안덕면,중식 음식점업,여성,164,4397000
2017-01-01,서귀포시,안덕면,차량용 주유소 운영업,여성,2128,120298099
2017-01-01,서귀포시,안덕면,화장품 및 방향제 소매업,남성,699,17565770
2017-01-01,서귀포시,안덕면,한식 음식점업,남성,6996,384179986
2017-01-01,서귀포시,안덕면,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,262,7404500
2017-01-01,서귀포시,안덕면,체인화 편의점,남성,7395,78605250
2017-01-01,서귀포시,송산동,욕탕업,여성,7,115000
2017-01-01,서귀포시,안덕면,차량용 가스 충전업,여성,24,1167000
2017-01-01,서귀포시,안덕면,관광 민예품 및 선물용품 소매업,남성,274,10732300
2017-01-01,서귀포시,안덕면,그외 기타 스포츠시설 운영업,남성,66,2672800
2017-01-01,서귀포시,대륜동,그외 기타 종합 소매업,여성,4,270000
2017-01-01,서귀포시,대륜동,그외 기타 스포츠시설 운영업,여성,13,301400
2017-01-01,서귀포시,대륜동,관광 민예품 및 선물용품 소매업,여성,40,1281250
2017-01-01,서귀포시,대륜동,과실 및 채소 소매업,여성,330,46095500
2017-01-01,서귀포시,대륜동,여관업,여성,400,34702012
2017-01-01,서귀포시,대륜동,건강보조식품 소매업,여성,95,6948810
2017-01-01,서귀포시,대륜동,기타 대형 종합 소매업,여성,10555,664589550
2017-01-01,서귀포시,대륜동,호텔업,남성,11,693000
2017-01-01,서귀포시,대륜동,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,323,9765670
2017-01-01,서귀포시,대륜동,체인화 편의점,남성,10017,93101830
2017-01-01,서귀포시,대륜동,차량용 주유소 운영업,남성,3043,155789333
2017-01-01,서귀포시,대륜동,차량용 가스 충전업,남성,152,4695584
2017-01-01,서귀포시,대륜동,중식 음식점업,남성,631,13914010
2017-01-01,서귀포시,대륜동,전시 및 행사 대행업,남성,181,14808000
2017-01-01,서귀포시,대륜동,한식 음식점업,남성,6815,294024340
2017-01-01,서귀포시,대륜동,기타 외국식 음식점업,여성,351,19235400
2017-01-01,서귀포시,대륜동,기타 주점업,여성,7,870000
2017-01-01,서귀포시,대륜동,기타음식료품위주종합소매업,여성,703,22646410
2017-01-01,서귀포시,안덕면,그외 기타 종합 소매업,남성,2,2000000
2017-01-01,서귀포시,안덕면,기타 외국식 음식점업,남성,213,11516000
2017-01-01,서귀포시,안덕면,기타 주점업,남성,35,4630000
2017-01-01,서귀포시,안덕면,기타음식료품위주종합소매업,남성,2021,73606360
2017-01-01,서귀포시,안덕면,비알콜 음료점업,남성,488,7465400
2017-01-01,서귀포시,안덕면,그외 기타 분류안된 오락관련 서비스업,남성,9,398000
2017-01-01,서귀포시,서홍동,일식 음식점업,남성,3,278000
2017-01-01,서귀포시,서홍동,육류 소매업,남성,45,2168600
2017-01-01,서귀포시,서홍동,욕탕업,남성,492,6366700
2017-01-01,서귀포시,대륜동,스포츠 및 레크레이션 용품 임대업,여성,1,8000
2017-01-01,서귀포시,대륜동,슈퍼마켓,여성,850,17501790
2017-01-01,서귀포시,대륜동,수산물 소매업,여성,51,2856000
2017-01-01,서귀포시,대륜동,서양식 음식점업,여성,1205,28081550
2017-01-01,서귀포시,대륜동,빵 및 과자류 소매업,여성,941,13377170
2017-01-01,서귀포시,대륜동,비알콜 음료점업,여성,1060,8411078
2017-01-01,서귀포시,대륜동,일반유흥 주점업,남성,59,5369000
2017-01-01,서귀포시,남원읍,스포츠 및 레크레이션 용품 임대업,남성,262,8671410
2017-01-01,서귀포시,남원읍,여관업,남성,113,6283900
2017-01-01,서귀포시,남원읍,비알콜 음료점업,남성,241,2904000
2017-01-01,서귀포시,동홍동,비알콜 음료점업,여성,827,9229490
2017-01-01,서귀포시,동홍동,빵 및 과자류 소매업,여성,1371,23511670
2017-01-01,서귀포시,동홍동,서양식 음식점업,여성,362,10371800
2017-01-01,서귀포시,동홍동,수산물 소매업,여성,87,5306000
2017-01-01,서귀포시,동홍동,그외 기타 종합 소매업,여성,32,3939500
2017-01-01,서귀포시,동홍동,슈퍼마켓,여성,12061,414880370
2017-01-01,서귀포시,동홍동,기타음식료품위주종합소매업,여성,9,247450
2017-01-01,서귀포시,동홍동,여관업,여성,39,2413300
2017-01-01,서귀포시,동홍동,일식 음식점업,여성,167,15181600
2017-01-01,서귀포시,동홍동,전시 및 행사 대행업,여성,55,1652000
2017-01-01,서귀포시,동홍동,중식 음식점업,여성,168,4306000
2017-01-01,서귀포시,동홍동,차량용 가스 충전업,여성,308,12615109
2017-01-01,서귀포시,동홍동,스포츠 및 레크레이션 용품 임대업,여성,70,3562800
2017-01-01,서귀포시,예래동,과실 및 채소 소매업,여성,90,7708000
2017-01-01,서귀포시,동홍동,육류 소매업,여성,416,29210137
2017-01-01,서귀포시,대천동,중식 음식점업,여성,51,1309000
2017-01-01,서귀포시,동홍동,기타 외국식 음식점업,여성,190,4190521
2017-01-01,서귀포시,동홍동,체인화 편의점,여성,4625,44854130
2017-01-01,서귀포시,서홍동,스포츠 및 레크레이션 용품 임대업,남성,1,40000
2017-01-01,서귀포시,서홍동,슈퍼마켓,남성,275,8782270
2017-01-01,서귀포시,서홍동,수산물 소매업,남성,37,3982000
2017-01-01,서귀포시,서홍동,서양식 음식점업,남성,336,5793500
2017-01-01,서귀포시,서홍동,빵 및 과자류 소매업,남성,215,2047000
2017-01-01,서귀포시,서홍동,비알콜 음료점업,남성,489,4106400
2017-01-01,서귀포시,동홍동,차량용 주유소 운영업,여성,1177,57683492
2017-01-01,서귀포시,서홍동,내항 여객 운송업,남성,291,34017300
2017-01-01,서귀포시,서홍동,기타 외국식 음식점업,남성,268,5817700
2017-01-01,서귀포시,서홍동,관광 민예품 및 선물용품 소매업,남성,18,265000
2017-01-01,서귀포시,서홍동,과실 및 채소 소매업,남성,51,2208250
2017-01-01,서귀포시,동홍동,화장품 및 방향제 소매업,여성,1,100000
2017-01-01,서귀포시,동홍동,한식 음식점업,여성,3998,188637551
2017-01-01,서귀포시,동홍동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,838,17640620
2017-01-01,서귀포시,서홍동,기타음식료품위주종합소매업,남성,15,3235760
2017-01-01,서귀포시,대천동,육류 소매업,여성,35,1288310
2017-01-01,서귀포시,대정읍,한식 음식점업,여성,4388,201576125
2017-01-01,서귀포시,대정읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,731,11998840
2017-01-01,서귀포시,대정읍,건강보조식품 소매업,여성,19,3267100
2017-01-01,서귀포시,대정읍,과실 및 채소 소매업,여성,151,7193650
2017-01-01,서귀포시,대정읍,호텔업,여성,1,50000
2017-01-01,서귀포시,대정읍,관광 민예품 및 선물용품 소매업,여성,25,795300
2017-01-01,서귀포시,대정읍,그외 기타 종합 소매업,여성,4,1650000
2017-01-01,서귀포시,대정읍,기타 외국식 음식점업,여성,17,446000
2017-01-01,서귀포시,대정읍,화장품 및 방향제 소매업,남성,56,1660390
2017-01-01,서귀포시,대정읍,기타 주점업,여성,49,11555010
2017-01-01,서귀포시,대정읍,비알콜 음료점업,여성,652,9425100
2017-01-01,서귀포시,대정읍,빵 및 과자류 소매업,여성,1790,22251100
2017-01-01,서귀포시,대정읍,그외 기타 분류안된 오락관련 서비스업,여성,3,148000
2017-01-01,서귀포시,대천동,일식 음식점업,여성,103,4889500
2017-01-01,서귀포시,대정읍,화장품 및 방향제 소매업,여성,157,7178350
2017-01-01,서귀포시,대천동,과실 및 채소 소매업,남성,773,53400740
2017-01-01,서귀포시,대정읍,기타음식료품위주종합소매업,여성,339,11277310
2017-01-01,서귀포시,대정읍,호텔업,남성,2,170000
2017-01-01,서귀포시,대정읍,한식 음식점업,남성,8436,419792488
2017-01-01,서귀포시,대정읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,948,15746480
2017-01-01,서귀포시,대정읍,체인화 편의점,여성,3847,38853970
2017-01-01,서귀포시,대정읍,차량용 주유소 운영업,여성,1770,100017154
2017-01-01,서귀포시,대정읍,차량용 가스 충전업,여성,42,3780000
2017-01-01,서귀포시,대정읍,중식 음식점업,여성,315,9702000
2017-01-01,서귀포시,대정읍,전시 및 행사 대행업,여성,29,224200
2017-01-01,서귀포시,대정읍,일식 음식점업,여성,224,19783500
2017-01-01,서귀포시,대정읍,일반유흥 주점업,여성,60,9726000
2017-01-01,서귀포시,대정읍,육류 소매업,여성,292,15206700
2017-01-01,서귀포시,대정읍,욕탕업,여성,22,2013700
2017-01-01,서귀포시,대정읍,여행사업,여성,1,198220
2017-01-01,서귀포시,대정읍,여관업,여성,74,3956300
2017-01-01,서귀포시,대정읍,스포츠 및 레크레이션 용품 임대업,여성,103,8561800
2017-01-01,서귀포시,대정읍,슈퍼마켓,여성,5477,193488125
2017-01-01,서귀포시,대정읍,수산물 소매업,여성,269,24174000
2017-01-01,서귀포시,대정읍,서양식 음식점업,여성,644,16461910
2017-01-01,서귀포시,서홍동,여관업,남성,61,5165000
2017-01-01,서귀포시,동홍동,기타 대형 종합 소매업,여성,5494,334699300
2017-01-01,서귀포시,동홍동,관광 민예품 및 선물용품 소매업,여성,84,2687700
2017-01-01,서귀포시,대천동,차량용 가스 충전업,여성,13,551000
2017-01-01,서귀포시,남원읍,차량용 주유소 운영업,여성,1491,77201812
2017-01-01,서귀포시,남원읍,비알콜 음료점업,여성,215,2721600
2017-01-01,서귀포시,남원읍,빵 및 과자류 소매업,여성,443,6000230
2017-01-01,서귀포시,남원읍,서양식 음식점업,여성,782,13621200
2017-01-01,서귀포시,남원읍,수산물 소매업,여성,100,9214500
2017-01-01,서귀포시,남원읍,슈퍼마켓,여성,1453,39521970
2017-01-01,서귀포시,남원읍,체인화 편의점,여성,1768,18647500
2017-01-01,서귀포시,남원읍,스포츠 및 레크레이션 용품 임대업,여성,61,3208300
2017-01-01,서귀포시,남원읍,여관업,여성,105,6543000
2017-01-01,서귀포시,남원읍,육류 소매업,여성,259,17078300
2017-01-01,서귀포시,남원읍,일반유흥 주점업,여성,11,1755000
2017-01-01,서귀포시,남원읍,일식 음식점업,여성,146,14643000
2017-01-01,서귀포시,남원읍,전시 및 행사 대행업,여성,364,10401500
2017-01-01,서귀포시,남원읍,중식 음식점업,여성,52,1322500
2017-01-01,서귀포시,남원읍,기타 주점업,여성,17,1768000
2017-01-01,서귀포시,남원읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,100,2418700
2017-01-01,서귀포시,남원읍,한식 음식점업,여성,2332,105641210
2017-01-01,서귀포시,남원읍,화장품 및 방향제 소매업,여성,74,3285540
2017-01-01,서귀포시,대정읍,중식 음식점업,남성,545,16586500
2017-01-01,서귀포시,남원읍,기타 외국식 음식점업,여성,21,583000
2017-01-01,서귀포시,남원읍,기타음식료품위주종합소매업,여성,3131,128868518
2017-01-01,서귀포시,대륜동,빵 및 과자류 소매업,남성,796,11145380
2017-01-01,서귀포시,대륜동,비알콜 음료점업,남성,840,6637145
2017-01-01,서귀포시,대륜동,기타음식료품위주종합소매업,남성,1131,29805450
2017-01-01,서귀포시,대륜동,기타 주점업,남성,38,5175000
2017-01-01,서귀포시,대륜동,기타 외국식 음식점업,남성,786,32676900
2017-01-01,서귀포시,대륜동,기타 대형 종합 소매업,남성,10999,708924400
2017-01-01,서귀포시,대륜동,그외 기타 종합 소매업,남성,4,1435000
2017-01-01,서귀포시,대륜동,그외 기타 스포츠시설 운영업,남성,9,210800
2017-01-01,서귀포시,대륜동,관광 민예품 및 선물용품 소매업,남성,25,664000
2017-01-01,서귀포시,대륜동,과실 및 채소 소매업,남성,383,62125110
2017-01-01,서귀포시,대륜동,건강보조식품 소매업,남성,86,16347160
2017-01-01,서귀포시,남원읍,휴양콘도 운영업,여성,1242,76582910
2017-01-01,서귀포시,남원읍,차량용 가스 충전업,여성,36,2163000
2017-01-01,서귀포시,송산동,체인화 편의점,여성,16172,168832300
2017-01-01,서귀포시,남원읍,욕탕업,여성,3,1841600
2017-01-01,서귀포시,대정읍,차량용 주유소 운영업,남성,4295,275327421
2017-01-01,서귀포시,대천동,체인화 편의점,여성,2170,20554420
2017-01-01,서귀포시,대천동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,1625,20895600
2017-01-01,서귀포시,대천동,한식 음식점업,여성,1984,83148780
2017-01-01,서귀포시,대천동,호텔업,여성,41,4169000
2017-01-01,서귀포시,대천동,휴양콘도 운영업,여성,291,32117360
2017-01-01,서귀포시,동홍동,과실 및 채소 소매업,여성,316,16350920
2017-01-01,서귀포시,대천동,차량용 주유소 운영업,여성,2144,106025524
2017-01-01,서귀포시,동홍동,건강보조식품 소매업,남성,30,6051910
2017-01-01,서귀포시,동홍동,그외 기타 종합 소매업,남성,17,2793500
2017-01-01,서귀포시,동홍동,기타 대형 종합 소매업,남성,5129,320427060
2017-01-01,서귀포시,동홍동,기타 외국식 음식점업,남성,311,7547555
2017-01-01,서귀포시,동홍동,기타음식료품위주종합소매업,남성,11,1562000
2017-01-01,서귀포시,동홍동,비알콜 음료점업,남성,589,6780870
2017-01-01,서귀포시,동홍동,과실 및 채소 소매업,남성,252,18106500
2017-01-01,서귀포시,동홍동,관광 민예품 및 선물용품 소매업,남성,52,2975000
2017-01-01,서귀포시,동홍동,빵 및 과자류 소매업,남성,1022,14320420
2017-01-01,서귀포시,동홍동,서양식 음식점업,남성,317,10223000
2017-01-01,서귀포시,동홍동,수산물 소매업,남성,163,14133500
2017-01-01,서귀포시,대정읍,체인화 편의점,남성,8203,85734420
2017-01-01,서귀포시,동홍동,건강보조식품 소매업,여성,26,4068730
2017-01-01,서귀포시,동홍동,화장품 및 방향제 소매업,남성,1,100000
2017-01-01,서귀포시,동홍동,한식 음식점업,남성,7273,370803130
2017-01-01,서귀포시,동홍동,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,798,16798620
2017-01-01,서귀포시,동홍동,체인화 편의점,남성,9336,89119880
2017-01-01,서귀포시,동홍동,차량용 주유소 운영업,남성,2288,132385765
2017-01-01,서귀포시,동홍동,차량용 가스 충전업,남성,628,21968333
2017-01-01,서귀포시,동홍동,중식 음식점업,남성,435,10833500
2017-01-01,서귀포시,동홍동,전시 및 행사 대행업,남성,22,292000
2017-01-01,서귀포시,동홍동,일식 음식점업,남성,432,47552900
2017-01-01,서귀포시,동홍동,육류 소매업,남성,353,36754509
2017-01-01,서귀포시,동홍동,여관업,남성,52,4391350
2017-01-01,서귀포시,동홍동,스포츠 및 레크레이션 용품 임대업,남성,662,36193200
2017-01-01,서귀포시,동홍동,슈퍼마켓,남성,12293,363494540
2017-01-01,서귀포시,대정읍,차량용 가스 충전업,남성,41,2068000
2017-01-01,서귀포시,대천동,여관업,여성,69,8494300
2017-01-01,서귀포시,안덕면,전시 및 행사 대행업,여성,3973,99448680
2017-01-01,서귀포시,송산동,차량용 가스 충전업,여성,344,14868109
2017-01-01,서귀포시,송산동,서양식 음식점업,남성,2373,104972180
2017-01-01,서귀포시,송산동,수산물 소매업,남성,1727,134206600
2017-01-01,서귀포시,송산동,슈퍼마켓,남성,20571,556054870
2017-01-01,서귀포시,송산동,스포츠 및 레크레이션 용품 임대업,여성,1641,257779440
2017-01-01,서귀포시,송산동,슈퍼마켓,여성,18232,561990865
2017-01-01,서귀포시,송산동,수산물 소매업,여성,1657,106679055
2017-01-01,서귀포시,성산읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,1570,18640610
2017-01-01,서귀포시,송산동,서양식 음식점업,여성,2791,52248140
2017-01-01,서귀포시,송산동,비알콜 음료점업,여성,2977,34304540
2017-01-01,서귀포시,송산동,마사지업,여성,4,520000
2017-01-01,서귀포시,송산동,기타음식료품위주종합소매업,여성,1477,63215410
2017-01-01,서귀포시,송산동,기타 주점업,여성,109,20075000
2017-01-01,서귀포시,송산동,기타 외국식 음식점업,여성,423,13705121
2017-01-01,서귀포시,송산동,기타 대형 종합 소매업,여성,5494,334699300
2017-01-01,서귀포시,송산동,빵 및 과자류 소매업,여성,5103,81722770
2017-01-01,서귀포시,송산동,그외 기타 종합 소매업,여성,35,4839500
2017-01-01,서귀포시,성산읍,서양식 음식점업,여성,863,14326200
2017-01-01,서귀포시,성산읍,슈퍼마켓,여성,3299,80690410
2017-01-01,서귀포시,성산읍,호텔업,여성,3,150000
2017-01-01,서귀포시,송산동,빵 및 과자류 소매업,남성,3793,59395980
2017-01-01,서귀포시,성산읍,한식 음식점업,여성,8565,374127027
2017-01-01,서귀포시,성산읍,체인화 편의점,여성,5946,55415970
2017-01-01,서귀포시,성산읍,차량용 주유소 운영업,여성,1977,105363214
2017-01-01,서귀포시,성산읍,차량용 가스 충전업,여성,91,10191040
2017-01-01,서귀포시,성산읍,수산물 소매업,여성,457,37865100
2017-01-01,서귀포시,성산읍,중식 음식점업,여성,228,7003500
2017-01-01,서귀포시,성산읍,일식 음식점업,여성,204,15031750
2017-01-01,서귀포시,성산읍,일반유흥 주점업,여성,52,8350000
2017-01-01,서귀포시,성산읍,육류 소매업,여성,246,13602110
2017-01-01,서귀포시,성산읍,욕탕업,여성,21,257000
2017-01-01,서귀포시,성산읍,여관업,여성,649,32314285
2017-01-01,서귀포시,성산읍,스포츠 및 레크레이션 용품 임대업,여성,5,97000
2017-01-01,서귀포시,성산읍,전시 및 행사 대행업,여성,1378,85774290
2017-01-01,서귀포시,송산동,관광 민예품 및 선물용품 소매업,여성,509,14214180
2017-01-01,서귀포시,송산동,과실 및 채소 소매업,여성,2145,129418949
2017-01-01,서귀포시,송산동,건강보조식품 소매업,여성,87,16403130
2017-01-01,서귀포시,성산읍,기타 주점업,여성,9,1068000
2017-01-01,서귀포시,서홍동,화장품 및 방향제 소매업,여성,32,913410
2017-01-01,서귀포시,서홍동,한식 음식점업,여성,1733,58711650
2017-01-01,서귀포시,서홍동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,201,1781500
2017-01-01,서귀포시,서홍동,체인화 편의점,여성,3456,29623770
2017-01-01,서귀포시,서홍동,차량용 주유소 운영업,여성,952,52188730
2017-01-01,서귀포시,성산읍,기타음식료품위주종합소매업,여성,2489,121989290
2017-01-01,서귀포시,서홍동,차량용 가스 충전업,여성,86,7282450
2017-01-01,서귀포시,서홍동,전시 및 행사 대행업,여성,42,1236450
2017-01-01,서귀포시,서홍동,일식 음식점업,여성,3,162000
2017-01-01,서귀포시,서홍동,육류 소매업,여성,84,3619000
2017-01-01,서귀포시,서홍동,욕탕업,여성,284,4998000
2017-01-01,서귀포시,서홍동,여관업,여성,30,1178400
2017-01-01,서귀포시,서홍동,스포츠 및 레크레이션 용품 임대업,여성,1,70000
2017-01-01,서귀포시,서홍동,중식 음식점업,여성,145,3634000
2017-01-01,서귀포시,성산읍,비알콜 음료점업,여성,1655,24412840
2017-01-01,서귀포시,송산동,중식 음식점업,남성,1750,52174800
2017-01-01,서귀포시,송산동,호텔업,남성,293,39672920
2017-01-01,서귀포시,송산동,휴양콘도 운영업,남성,9,1510000
2017-01-01,서귀포시,송산동,화장품 및 방향제 소매업,남성,502,46047880
2017-01-01,서귀포시,송산동,스포츠 및 레크레이션 용품 임대업,남성,2066,275182560
2017-01-01,서귀포시,송산동,여관업,남성,1911,161873042
2017-01-01,서귀포시,송산동,욕탕업,남성,16,240900
2017-01-01,서귀포시,송산동,육류 소매업,남성,1508,110759065
2017-01-01,서귀포시,송산동,일반유흥 주점업,남성,2489,594625632
2017-01-01,서귀포시,송산동,일식 음식점업,남성,3261,290622170
2017-01-01,서귀포시,성산읍,빵 및 과자류 소매업,여성,2064,23858550
2017-01-01,서귀포시,송산동,전시 및 행사 대행업,남성,152,3519000
2017-01-01,서귀포시,송산동,차량용 가스 충전업,남성,667,24164503
2017-01-01,서귀포시,송산동,차량용 주유소 운영업,남성,8939,577695644
2017-01-01,서귀포시,송산동,체인화 편의점,남성,29228,284822110
2017-01-01,서귀포시,송산동,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,4598,68399537
2017-01-01,서귀포시,송산동,한식 음식점업,남성,26575,1330706633
2017-01-01,서귀포시,성산읍,화장품 및 방향제 소매업,여성,347,7541350
